name	in_input_table_1	count_in_input_table_2	status
PK2_ATH_10to200_20240705_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240702_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240702_PM_01	TRUE	50	OK
PK2_ATH_10to40_20240703_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240704_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240704_MID_01	TRUE	50	OK
PK2_ATH_10to40_20240705_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240705_MID_01	TRUE	50	OK
PK2_ATH_10to40_20240706_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240706_MID_01	TRUE	50	OK
PK2_ATH_10to40_20240707_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240708_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240709_AM_01	TRUE	50	OK
PK2_ATH_10to40_20240710_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240701_MID_01	TRUE	50	OK
PK2_ATH_150to500_20240702_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240702_PM_01	TRUE	50	OK
PK2_ATH_150to500_20240703_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240704_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240705_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240706_MID_01	TRUE	50	OK
PK2_ATH_150to500_20240707_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240708_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240709_AM_01	TRUE	50	OK
PK2_ATH_150to500_20240709_AM_02	TRUE	50	OK
PK2_ATH_150to500_20240710_AM_01	TRUE	50	OK
PK2_ATH_20to100_20240708_AM_01	TRUE	50	OK
PK2_ATH_20to100_20240708_MID_01	TRUE	50	OK
PK2_ATH_20to200_20240627_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240627_AM_02	TRUE	50	OK
PK2_ATH_20to200_20240701_MID_01	TRUE	50	OK
PK2_ATH_20to200_20240701_PM_01	TRUE	50	OK
PK2_ATH_20to200_20240702_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240702_PM_01	TRUE	50	OK
PK2_ATH_20to200_20240703_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240703_PM_01	TRUE	50	OK
PK2_ATH_20to200_20240703_PM_02	TRUE	50	OK
PK2_ATH_20to200_20240704_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240704_MID_01	TRUE	50	OK
PK2_ATH_20to200_20240705_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240705_MID_01	TRUE	50	OK
PK2_ATH_20to200_20240706_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240706_MID_01	TRUE	50	OK
PK2_ATH_20to200_20240707_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240708_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240708_MID_01	TRUE	50	OK
PK2_ATH_20to200_20240708_MID_02	TRUE	50	OK
PK2_ATH_20to200_20240709_AM_01	TRUE	50	OK
PK2_ATH_20to200_20240709_AM_TARA_01	TRUE	50	OK
PK2_ATH_20to200_20240710_AM_01	TRUE	50	OK
PK2_ATH_5to20_20240702_PM_01	TRUE	50	OK
PK2_ATH_5to20_20240704_AM_01	TRUE	50	OK
PK2_ATH_5to20_20240704_MID_01	TRUE	50	OK
PK2_ATH_5to20_20240705_AM_01	TRUE	50	OK
PK2_ATH_5to20_20240705_MID_01	TRUE	50	OK
PK2_ATH_5to20_20240706_AM_01	TRUE	50	OK
PK2_ATH_5to40_20240703_AM_01	TRUE	50	OK
PK2_ATH_5to40_20240707_AM_01	TRUE	50	OK
PK2_ATH_5to40_20240708_AM_01	TRUE	50	OK
PK2_ATH_5to40_20240710_AM_01	TRUE	50	OK
PK2_BAR_10to200_20240322_AM_01	TRUE	50	OK
PK2_BAR_10to200_20240322_PM_01	TRUE	50	OK
PK2_BAR_10to200_20240323_AM_01	TRUE	50	OK
PK2_BAR_10to20_20240318_AM_01	TRUE	50	OK
PK2_BAR_10to20_20240318_PM_01	TRUE	50	OK
PK2_BAR_10to20_20240319_AM_01	TRUE	50	OK
PK2_BAR_10to20_20240319_PM_01	TRUE	50	OK
PK2_BAR_10to20_20240320_AM_01	TRUE	50	OK
PK2_BAR_10to20_20240320_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240311_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240312_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240313_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240313_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240314_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240314_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240315_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240316_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240316_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240318_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240318_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240319_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240319_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240320_AM_01	TRUE	50	OK
PK2_BAR_10to40_20240320_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240321_PM_01	TRUE	50	OK
PK2_BAR_10to40_20240322_PM_01	TRUE	50	OK
PK2_BAR_150to500_20240311_PM_01	TRUE	50	OK
PK2_BAR_150to500_20240312_AM_01	TRUE	49	OK
PK2_BAR_150to500_20240313_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240313_PM_01	TRUE	50	OK
PK2_BAR_150to500_20240314_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240314_PM_01	TRUE	50	OK
PK2_BAR_150to500_20240315_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240316_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240316_PM_01	TRUE	50	OK
PK2_BAR_150to500_20240318_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240319_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240319_PM_01	TRUE	50	OK
PK2_BAR_150to500_20240320_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240320_PM_01	TRUE	50	OK
PK2_BAR_150to500_20240321_AM_01	TRUE	50	OK
PK2_BAR_150to500_20240321_PM_01	TRUE	50	OK
PK2_BAR_20to200_20240311_PM_01	TRUE	50	OK
PK2_BAR_20to200_20240312_AM_01	TRUE	49	OK
PK2_BAR_20to200_20240313_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240314_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240314_PM_01	TRUE	50	OK
PK2_BAR_20to200_20240315_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240316_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240316_PM_01	TRUE	50	OK
PK2_BAR_20to200_20240318_AM_01	TRUE	50	OK
PK2_BAR_20to200_20240318_PM_01	TRUE	50	OK
