Dataset ID	Dataset	Type	Study ID	Study	name	FilePath	Checksum	Assay ID	Assay Name	Assay Producer	Instrument Name	Instrument Model	Sample ID	Sample	Organism	Material Type	Sample[Altitude (m)]	Sample[BioSamples Acc.]	Sample[Collection Depth (m)]	Sample[Country and/or Sea]	Sample[Latitude]	Sample[Longitude]	Sample[Sampling Design Label]	Channel Name 1	Channel Visualized Entity Name 1	Channel Visualized Entity Type 1	Channel Label 1	Channel Probe Name 1	Channel Probe Type 1	Channel Name 2	Channel Visualized Entity Name 2	Channel Visualized Entity Type 2	Channel Label 2	Channel Probe Name 2	Channel Probe Type 2	Channel Name 3	Channel Visualized Entity Name 3	Channel Visualized Entity Type 3	Channel Label 3	Channel Probe Name 3	Channel Probe Type 3	Channel Name 4	Channel Visualized Entity Name 4	Channel Visualized Entity Type 4	Channel Label 4	Channel Probe Name 4	Channel Probe Type 4
88452e50-3a29-4364-897c-3fbeefe5b0a0	PK2_ATH_10to200_20240705_AM_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to200_20240705_AM_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240705/PK2_ATH_10to200_20240705_AM_01.czi	cba3d177f0139fbac317b8027e1657e1	9555601e-5d07-4619-8473-d794f8a83769	TREC Plankton Scans ATH 20240705 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	184f8ce1-afa1-43ee-a20d-96af48a36cbe	ATH_20240705_AM_10to200_bottle-T3	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642111	0	Greece	37.71167	23.89714	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
2ef6d279-e8d5-45b9-87aa-6ab19777dfd7	PK2_ATH_10to40_20240702_AM_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240702_AM_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240702/PK2_ATH_10to40_20240702_AM_01.czi	8789abb464fb2d40cb828492259a783b	afefa177-05d8-4f56-92a2-d47735c0c8e1	TREC Plankton Scans ATH 20240702 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	b9a100b3-ad9f-4400-abef-5fc69255cedc	ATH_20240702_AM_10to40_bottle-T4	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642097	0	Greece	37.6905	23.9015	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
535213e3-a66e-4ab0-97e0-affc63bf1c6e	PK2_ATH_10to40_20240702_PM_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240702_PM_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240702/PK2_ATH_10to40_20240702_PM_01.czi	74c17b15586f1fc7759c86ae26d4237d	afefa177-05d8-4f56-92a2-d47735c0c8e1	TREC Plankton Scans ATH 20240702 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	93558096-9db0-4937-9704-49cc60c52791	ATH_20240702_PM_10to40_bottle-5	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642082	0	Greece	37.69	23.9058	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
aa87dfa0-7f65-4fce-8a1f-127f0516309f	PK2_ATH_10to40_20240703_AM_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240703_AM_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240703/PK2_ATH_10to40_20240703_AM_01.czi	824a2effa53be36fc75dec7df51b949e	c81b8d74-687b-489a-94bb-ece9330ea2d8	TREC Plankton Scans ATH 20240703 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	b600ac56-9c19-427a-afce-c2874f9066f8	ATH_20240703_AM_10to40_bottle-T4	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642152	0	Greece	37.6908	23.9074	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
8a40f89f-7a38-4971-a417-afe685a53bf2	PK2_ATH_10to40_20240704_AM_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240704_AM_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240704/PK2_ATH_10to40_20240704_AM_01.czi	52ebac1dd0fc1d83652b3155dd415e5a	98d06401-aefb-4b1e-a1b9-156e7289ea67	TREC Plankton Scans ATH 20240704 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	917acc5c-a97f-47d5-8e8f-177e7dea498b	ATH_20240704_AM_10to40_bottle-3	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642178	0	Greece	37.71167	23.93047	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
c8d9688c-be09-4e45-b937-1ff86994c497	PK2_ATH_10to40_20240704_MID_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240704_MID_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240704/PK2_ATH_10to40_20240704_MID_01.czi	31f853e2a0a70c3370ab7476e9f5eb5f	98d06401-aefb-4b1e-a1b9-156e7289ea67	TREC Plankton Scans ATH 20240704 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	6d7cc81b-61cd-4c3d-8004-b9e8b3059f66	ATH_20240704_MID_10to40_bottle-3	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642180	0	Greece	37.71167	23.93047	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
12e20b1e-1c13-4c78-8e7b-7abe4555f29a	PK2_ATH_10to40_20240705_AM_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240705_AM_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240705/PK2_ATH_10to40_20240705_AM_01.czi	9d53ffd54e506120cf0bc069b88575fe	9555601e-5d07-4619-8473-d794f8a83769	TREC Plankton Scans ATH 20240705 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	d72794dc-c115-4420-86f9-84ddfe954506	ATH_20240705_AM_10to40_bottle-T1	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642110	0	Greece	37.71167	23.89714	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
c40c1852-6b51-4bfb-8243-4b48b640ae48	PK2_ATH_10to40_20240705_MID_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240705_MID_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240705/PK2_ATH_10to40_20240705_MID_01.czi	751febada2ca041cd8e26ba1953c32bf	9555601e-5d07-4619-8473-d794f8a83769	TREC Plankton Scans ATH 20240705 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	d3e0d033-afdd-4e54-925c-28ea25eb9ecc	ATH_20240705_MID_10to40_bottle-T3	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642130	0	Greece	37.71167	23.89714	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
d6a30fff-a5eb-4afd-bc97-a5069a0f3b02	PK2_ATH_10to40_20240706_AM_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240706_AM_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240706/PK2_ATH_10to40_20240706_AM_01.czi	0e9357ca00379e3bfa0fb731fdaf679f	270912b6-cd90-4c8d-986d-8d19367f29e5	TREC Plankton Scans ATH 20240706 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	bcbbbc4b-d077-47e7-9b55-628f5c2f8e2c	ATH_20240706_AM_10to40_bottle-T1	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642227	0	Greece	37.7186	23.9383	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
855287d4-4b56-4438-8e57-72ff918ebc7f	PK2_ATH_10to40_20240706_MID_01	generic	156d00db-f758-4ff9-ab9a-2130cf2d0d38	Live Confocal Super Plankton	PK2_ATH_10to40_20240706_MID_01.czi	/g/mobilelab/LabID/Data/Assay/light_microscopy/2024/TREC_STOP_41_Athens_LSM900_20240706/PK2_ATH_10to40_20240706_MID_01.czi	a46fc31910274c6b575fca86888dc533	270912b6-cd90-4c8d-986d-8d19367f29e5	TREC Plankton Scans ATH 20240706 LSM900		AML-Zeiss LSM 900	ALMF-Zeiss LSM 900	34f93c2d-e45c-4e56-9811-965121a5bd81	ATH_20240706_MID_10to40_bottle-6	marine plankton environmental sample	whole organism	not provided	https://www.ebi.ac.uk/biosamples/samples/SAMEA117642215	0	Greece	37.7186	23.9383	041-03-00-000	Hoechst	DNA and surface structures (teca)	DNA	Hoechst33342			ChloA	Chlorophyll A autofluorescence	Chloroplast				T-PMT	None					PE	Phycoerythrin autofluorescence				
